date,growth,term,inflation,credit,buyout,vc,fof_secondary,fof_primary,senior_loan,mezzanine,apac_equity,hfri_fof_cons,msci_gpfi,re_noncore,gl1,gl2,epra_nareit,infra_core,ftse_fi_infra
2020-03-31,-0.2136521504,0.101468222,-0.0776216405,-0.1327479864,-0.1005,-0.0385,-0.0631,-0.0473,-0.0411,-0.1454,-0.059,-0.07192684558,-0.033071,-0.0528,-0.009248,0.0062294,-0.2833523053,-0.0463,-0.07383295659
2020-06-30,0.1921891878,0.008929060532,0.03276370255,0.09690504706,0.098,0.1189,-0.0045,0.08,0.0224,0.0885,0.1024,0.05568012196,0.000603,-0.0034,0.042736,0.0148317,0.1032995955,0.035,0.1374193266
2020-09-30,0.08130266842,0.002787128533,0.02739863093,0.01696444488,0.1142,0.1509,0.0822,0.0878,0.0495,0.0554,0.0967,0.02671963422,0.023018,0.0309,0.017447,0.0159315,0.02325774167,0.0509,0.01131931879
2020-12-31,0.1468428863,-0.01312084898,0.0296207357,0.03831186699,0.1308,0.3329,0.2081,0.1805,0.0519,0.0755,0.1766,0.05838762081,0.04346,0.0416,0.0116279,0.0173105,0.13486409,0.0696,0.04325452646
2021-03-31,0.04571390441,-0.05740568022,0.04291996653,0.005172965423,0.0878,0.1752,0.0707,0.1528,0.0167,0.0759,0.0459,0.03593952817,0.015851,0.0207,-0.01222,0.0201624,0.0610937318,0.0069,-0.05095308503
2021-06-30,0.07393276027,0.0250281324,0.008431944253,0.01137268131,0.1276,0.1352,0.144,0.0919,0.0306,0.0749,0.0852,0.02169222681,0.037584,0.071,0.0245,0.0227572,0.09421419059,0.0313,0.04343326299
2021-09-30,-0.01054283429,-0.0001514233761,0.01749352805,-0.001059142038,0.0624,0.1061,0.0943,0.0309,0.0171,0.0394,-0.016,0.009750762142,0.037436,0.0865,0.0042,0.0203262,-0.00726398626,0.0173,0.004529662185
2021-12-31,0.06676378858,0.003350749657,0.02015150353,-0.004637016678,0.0665,0.0808,0.081,0.0494,0.0198,0.0363,0.028,0.007001370677,0.067936,0.0924,0.0028,0.0189059,0.1036864288,0.0258,0.0008509981049
2022-03-31,-0.05360797872,-0.06611196016,0.03302772645,-0.01720652855,0.0049,-0.0558,0.004,-0.0244,0.0266,0.0237,-0.0387,0.001578999717,0.058586,0.0579,-0.0441,0.0165523,-0.03768569509,-0.0019,-0.0795435073
2022-06-30,-0.1566049809,-0.0446289674,-0.02075486389,-0.03541909757,-0.0356,-0.133,-0.0333,-0.0455,-0.0129,-0.0171,-0.0112,-0.01710245771,0.039726,-0.0027,-0.0194,0.0188603,-0.1723320818,-0.0121,-0.08599177713
2022-09-30,-0.06819726104,-0.05529944173,-0.001704782446,-0.002929104856,-0.0153,-0.0246,-0.0194,-0.0375,-0.01,0.0103,-0.04,0.002077468149,-7.1e-05,-0.0152,-0.0407,0.0270356,-0.1138675882,-0.0274,-0.04881966389
2022-12-31,0.09762904205,0.009737425298,0.01187129381,0.03117078782,0.037,-0.0778,0.0139,-0.0107,0.041,0.0315,0.0147,0.01449782488,-0.049177,-0.019,0.0122,0.0144203,0.07106913931,0.0852,0.03569601628
2023-03-31,0.07305813437,0.0352930744,0.001685406419,0.00625863389,0.0309,0.0002,0.0153,0.011,0.0334,0.0253,0.0143,0.009201149125,-0.022527,-0.0067,0.0313,0.0099683,0.0103587339,0.0308,0.03851436641
2023-06-30,0.06177278541,-0.0184796574,0.00173808536,0.01248314271,0.0252,0.0043,0.0133,-0.0057,0.0322,0.0241,-0.008,0.0105020652,-0.020174,-0.0119,-0.0074,0.0190482,0.005428566332,0.0193,-0.004167433131
2023-09-30,-0.03402567097,-0.04417828392,0.01394239298,0.007860661565,0.0002,-0.0251,0.0029,-0.0158,0.023,0.0236,0.0014,0.01475318569,-0.016141,-0.0304,-0.0136,0.0115746,-0.05593603386,-0.0076,-0.02993537676
